질문,답변
"FERT101 상품에 대한 정보를 보여줘","{""option"": ""FERT101""}"
"FERT102 제품의 원가계산서를 확인하고 싶어","{""option"": ""FERT102"", ""active_tab"": 1}"
"FERT103으로 분석해줘","{""option"": ""FERT103""}"
"FERT201 상품으로 전환해줘","{""option"": ""FERT201""}"
"FERT202 제품의 BOM 구조가 궁금해","{""option"": ""FERT202""}"
"FERT106 제품으로 바꿔서 보여줘","{""option"": ""FERT106""}"
"ROH0001 원재료 정보를 보여줘","{""option2"": ""ROH0001""}"
"ROH0002로 원재료를 변경해줘","{""option2"": ""ROH0002""}"
"ROH2001 원자재로 설정해줘","{""option2"": ""ROH2001""}"
"ROH2003 원재료의 영향을 보고 싶어","{""option2"": ""ROH2003""}"
"ROH0003 원재료로 바꿔줘","{""option2"": ""ROH0003""}"
"FERT101 상품의 입고 수량을 5% 증가시켜줘","{""option"": ""FERT101"", ""m10change"": ""5.0""}"
"FERT104 제품의 입고량을 10% 늘려서 계산해줘","{""option"": ""FERT104"", ""m10change"": ""10.0""}"
"FERT102 상품의 입고 수량을 8% 올려서 원가계산서를 보여줘","{""option"": ""FERT102"", ""m10change"": ""8.0"", ""active_tab"": 1}"
"FERT201의 입고를 3% 감소시켰을 때 손익요약을 보여줘","{""option"": ""FERT201"", ""m10change"": ""-3.0"", ""active_tab"": 2}"
"FERT105 상품 입고량을 7% 줄여서 분석해줘","{""option"": ""FERT105"", ""m10change"": ""-7.0""}"
"FERT203 제품의 입고 수량을 12% 증가시켰을 때 영향을 보여줘","{""option"": ""FERT203"", ""m10change"": ""12.0""}"
"FERT101 입고량 2% 감소시킨 수불부를 보고 싶어","{""option"": ""FERT101"", ""m10change"": ""-2.0"", ""active_tab"": 0}"
"FERT101 판매 수량을 6% 증가시켜줘","{""option"": ""FERT101"", ""m20change"": ""6.0""}"
"FERT203 제품의 판매량을 4% 늘려서 계산해줘","{""option"": ""FERT203"", ""m20change"": ""4.0""}"
"FERT106 판매 수량을 9% 올려서 원가계산서를 보여줘","{""option"": ""FERT106"", ""m20change"": ""9.0"", ""active_tab"": 1}"
"FERT105의 판매를 7% 감소시켰을 때 손익요약을 보여줘","{""option"": ""FERT105"", ""m20change"": ""-7.0"", ""active_tab"": 2}"
"FERT102 제품 판매량을 5% 줄여서 분석해줘","{""option"": ""FERT102"", ""m20change"": ""-5.0""}"
"FERT104 상품의 판매 수량을 11% 증가시켰을 때 영향을 보여줘","{""option"": ""FERT104"", ""m20change"": ""11.0""}"
"FERT201 판매량 3% 감소시킨 수불부를 보고 싶어","{""option"": ""FERT201"", ""m20change"": ""-3.0"", ""active_tab"": 0}"
"USD 환율을 4% 올려서 계산해줘","{""m110change"": ""4.0""}"
"달러 환율을 2.5% 상승시켰을 때 FERT102의 원가계산서를 보여줘","{""option"": ""FERT102"", ""m110change"": ""2.5"", ""active_tab"": 1}"
"미국 달러 환율이 6% 하락했을 때 FERT201의 손익은?","{""option"": ""FERT201"", ""m110change"": ""-6.0"", ""active_tab"": 2}"
"USD 환율 3% 증가시 FERT103 제품의 수불부를 보여줘","{""option"": ""FERT103"", ""m110change"": ""3.0"", ""active_tab"": 0}"
"달러 가치가 8% 떨어졌을 때 FERT105의 영향을 분석해줘","{""option"": ""FERT105"", ""m110change"": ""-8.0""}"
"환율이 7% 상승했을 때 FERT106의 제조원가명세서를 보여줘","{""option"": ""FERT106"", ""m110change"": ""7.0"", ""active_tab"": 4}"
"ROH0001 원재료 구매단가를 5% 올려줘","{""option2"": ""ROH0001"", ""m50change2"": ""5.0""}"
"ROH0003 원자재 가격을 3% 내려서 분석해줘","{""option2"": ""ROH0003"", ""m50change2"": ""-3.0""}"
"ROH2001의 구매단가가 7% 상승했을 때 FERT101의 원가계산서를 보여줘","{""option"": ""FERT101"", ""option2"": ""ROH2001"", ""m50change2"": ""7.0"", ""active_tab"": 1}"
"ROH2002 가격이 4% 내려갔을 때 FERT202의 수불부는?","{""option"": ""FERT202"", ""option2"": ""ROH2002"", ""m50change2"": ""-4.0"", ""active_tab"": 0}"
"ROH0002 원재료 단가를 6% 올려서 FERT103의 손익요약을 보여줘","{""option"": ""FERT103"", ""option2"": ""ROH0002"", ""m50change2"": ""6.0"", ""active_tab"": 2}"
"ROH2003 가격을 9% 인상했을 때 FERT201의 제조원가명세서는?","{""option"": ""FERT201"", ""option2"": ""ROH2003"", ""m50change2"": ""9.0"", ""active_tab"": 4}"
